Correction,StageVar,Group,Clock,n,mean,sd,median,q1,q3,min,max
ComBat,DiseaseGroup,Healthy,HepClock,74,-5.17,6.97,-4.52,-9.27,-0.83,-29.32,12.7
ComBat,DiseaseGroup,Healthy obese,HepClock,228,-0.03,4.51,0.22,-2.66,2.72,-15.36,12.06
ComBat,DiseaseGroup,MASH,HepClock,79,-1.63,5.82,-2.18,-5.11,1.44,-19.03,24.34
ComBat,DiseaseGroup,MASL,HepClock,50,-1.14,9.4,-2.43,-5.54,3.09,-25.69,32.71
ComBat,DiseaseGroup,Mild fibrosis,HepClock,14,2.31,7.98,0.82,-2.99,8.74,-11.61,14.74
ComBat,DiseaseGroup,Advanced fibrosis,LiverClock,120,4.04,3.89,4.14,1.99,6.2,-5.35,15.28
ComBat,DiseaseGroup,Healthy,LiverClock,74,-4.36,6.03,-4.74,-8.13,-0.51,-21.63,8.82
ComBat,DiseaseGroup,Healthy obese,LiverClock,228,0.7,3.62,0.72,-1.5,3.31,-9.82,11.91
ComBat,DiseaseGroup,MASH,LiverClock,79,-2.72,5.23,-2.92,-6.55,-0.19,-13.72,25.41
ComBat,DiseaseGroup,MASL,LiverClock,50,-2.4,6.62,-2.8,-6.62,0.74,-18.3,15.42
ComBat,DiseaseGroup,Mild fibrosis,LiverClock,14,0.88,7.01,2.02,-5.92,5.55,-10.05,11.17
ComBat,Progression3,Advanced fibrosis,Horvath1,120,4.24,4.98,4.03,1,7.25,-9.82,17.14
ComBat,Progression3,Healthy,Horvath1,302,-1.9,5.92,-2.06,-5.92,2.15,-23.95,12.57
ComBat,Progression3,Mild disease,Horvath1,143,0.45,6.56,0.31,-3.5,4,-15.79,24.43
ComBat,Progression3,Advanced fibrosis,PCHorvath1,120,5.35,4.82,5.62,2.15,8.17,-10.31,17.71
ComBat,Progression3,Healthy,PCHorvath1,302,-2.61,6.46,-2.79,-7.03,1.92,-19.92,14.57
ComBat,Progression3,Mild disease,PCHorvath1,143,1.02,6.8,1.33,-2.92,5.5,-22.63,22.21
ComBat,Progression3,Advanced fibrosis,Horvath2,120,-0.2,7.13,0.1,-5.43,4.41,-18.83,21.18
ComBat,Progression3,Healthy,Horvath2,302,1.02,7.93,1.49,-4.15,6.35,-26.15,19.98
ComBat,Progression3,Mild disease,Horvath2,143,-2,10.19,-1.1,-7.08,4.78,-68.24,14.65
ComBat,Progression3,Advanced fibrosis,PCHorvath2,120,5.33,5.29,5.76,2.23,8.31,-12.56,19.82
ComBat,Progression3,Healthy,PCHorvath2,302,-3.07,7.28,-3.56,-8.1,2.27,-20.84,16.6
ComBat,Progression3,Mild disease,PCHorvath2,143,2.02,7.67,2.58,-2.17,6.05,-22.32,27.31
ComBat,Progression3,Advanced fibrosis,Hannum,120,-2.06,5.38,-2.42,-5.35,1.18,-13.21,17.98
